"id","sku","tipo","","post_title","post_description","post_excerpt","image","post_name","post_status","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","price","sale_price","weight","length","width","height","tax_status","tax_class","tax:product_cat","tax:product_tag","tax:product_brand","atributo color","attribute:Color","attribute_data:Color","attribute:Color","atributo talla","attribute:Size","attribute_data:Size","attribute_global:Zise","atributo silueta","atributo silueta","attribute_data:Silueta","attribute_global:silueta","","","","","","","","","","",""
"015716","014308","variable","","DEEP LATIN BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. ","BOXER MICROFIBRA CORTO","","DEEP-LATIN-BOXER","publish","no ","no ","visible","","instock","no ","no ","28,300","","","","","","taxable ","","Boxer > Luxury ","Boxer  Corto ","Nylon 94% > Elastane 6% | Microfibra","Color","Azul Oscuro ","1","1","Talla","S, M, L, XL","1","1","Silueta","Boxer, Corto ","1","1","","","","","","","","","","",""
"015717","014311","variable","","DEEP LATIN BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. ","BOXER MICROFIBRA CORTO ","","DEEP-LATIN-BOXER","publish","no ","no ","visible","","instock","no ","no ","28,302","","","","","","taxable ","","Boxer > Luxury ","Boxer  Corto ","Nylon 94% > Elastane 6% | Microfibra","Color","Negro ","1","1","Talla","S, M, L, XL","1","1","Silueta","Boxer, Corto ","1","1","","","","","","","","","","",""
"015718","014101","variable","","FULLNESS LATIN BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. ","BOXER MICROFIBRA CORTO ","","FULLNESS-LATIN-BOXER","publish","no ","no ","visible","","instock","no ","no ","34,300","","","","","","taxable ","","Boxer > Casual","Boxer  Corto ","Nylon 76% > Elastane 24% | Microfibra","Color","Blanco ","1","1","Talla","S, M, L, XL","1","1","Silueta","Boxer, Corto ","1","1","","","","","","","","","","",""
"015719","014111","variable","","FULLNESS LATIN BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. ","BOXER MICROFIBRA CORTO ","","FULLNESS-LATIN-BOXER","publish","no ","no ","visible","","instock","no ","no ","34,300","","","","","","taxable ","","Boxer > Casual","Boxer  Corto ","Nylon 76% > Elastane 24% | Microfibra","Color","Negro","1","1","Talla","S, M, L, XL","1","1","Silueta","Boxer, Corto ","1","1","","","","","","","","","","",""
"015720","015008","variable","","PHENOMENON LATIN BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas.","BOXER MICROFIBRA CORTO ","","PHENOMENON-LATIN-BOXER","publish","no ","no ","visible","","instock","no ","no ","31,800","","","","","","taxable ","","Boxer > Luxury","Boxer  Corto ","Nylon 78% > Elastane 22% | Microfibra","Color","Azul Oscuro ","1","1","Talla","S, M, L, XL","1","1","Silueta","Boxer, Corto ","1","1","","","","","","","","","","",""
"015721","015013","variable","","PHENOMENON LATIN BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. ","BOXER MICROFIBRA CORTO ","","PHENOMENON-LATIN-BOXER","publish","no ","no ","visible","","instock","no ","no ","31,800","","","","","","taxable ","","Boxer > Luxury","Boxer  Corto ","Nylon 78% > Elastane 22% | Microfibra","Color","Gris ","1","1","Talla","S, M, L, XL","1","1","Silueta","Boxer, Corto ","1","1","","","","","","","","","","",""
"015722","015511","variable","","FEEL LATIN BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. ","BOXER MICROFIBRA LARGO ","","FEEL-LATIN-BOXER","publish","no ","no ","visible","","instock","no ","no ","31,900","","","","","","taxable ","","Boxer > Casual ","Boxer  Estampado ","Polyester 93% > Elastane 7% | Microfibra","Color","Negro ","1","1","Talla","S, M, L, XL","1","1","Silueta","Boxer, Estampado ","1","1","","","","","","","","","","",""
"015723","013701","variable","","CALM BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. ","BOXER MICROFIBRA MEDIO ","","CALM-BOXER","publish","no ","no ","visible","","instock","no ","no ","39,900","","","","","","taxable ","","Boxer > Luxury","Boxer  Medio ","Nylon 78% > Elastane 22% | Microfibra","Color","Blanco ","1","1","Talla","S, M, L, XL","1","1","Silueta","Boxer, Medio ","1","1","","","","","","","","","","",""
"015724","013711","variable","","CALM BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. ","BOXER MICROFIBRA MEDIO ","","CALM-BOXER","publish","no ","no ","visible","","instock","no ","no ","39,900","","","","","","taxable ","","Boxer > Luxury","Boxer  Medio ","Nylon 78% > Elastane 22% | Microfibra","Color","Negro","1","1","Talla","S, M, L, XL","1","1","Silueta","Boxer, Medio ","1","1","","","","","","","","","","",""
"015725","013901","variable","","SPIRITUAL BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. ","BOXER MICROFIBRA MEDIO","","SPIRITUAL-BOXER","publish","no ","no ","visible","","instock","no ","no ","30,200","","","","","","taxable ","","Boxer > Luxury","Boxer  Medio ","Nylon 78% > Elastane 22% | Microfibra","Color","Blanco ","1","1","Talla","S, M, L, XL","1","1","Silueta","Boxer, Medio ","1","1","","","","","","","","","","",""
