"post_title","post_description","post_excerpt","image","post_name","post_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","$  28.300","sale_price","weight","length","width","height","tax_status","tax_class","tax:product_type","tax:product_cat","tax:product_tag","tax:product_brand","attribute:Color","attribute_data:Color","attribute:Size","attribute_data:Size"," ","","","","","","","","","","","","","",""
"DEEP LATIN BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. / Styled and shaped for the best comfort, it provides freedom of movement, with the perfect design and fit for everyday activities and sports.","BOXER MICROFIBRA CORTO /SHORT MICROFIBER BOXER","","DEEP-LATIN-BOXER","publish","014308","no ","no ","visible","","instock","no ","no ","28,300","","","","","","taxable ","","normal","Boxer > Luxury > Azul  | Corto / BOXER > LUXURY > BLUE | SHORT","Boxer | Corto / BOXER | SHORT","Nylon 94% > Elastane 6% | Microfibra","Azul Oscuro / DARK BLUE","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"DEEP LATIN BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. / Styled and shaped for the best comfort, it provides freedom of movement, with the perfect design and fit for everyday activities and sports.","BOXER MICROFIBRA CORTO /SHORT MICROFIBER BOXER","","DEEP-LATIN-BOXER","publish","014311","no ","no ","visible","","instock","no ","no ","28,302","","","","","","taxable ","","normal","Boxer > Luxury > Negro | Corto / BOXER > LUXURY > BLACK | SHORT","Boxer | Corto / BOXER | SHORT","Nylon 94% > Elastane 6% | Microfibra","Negro / BLACK","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"FULLNESS LATIN BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. / Styled and shaped for the best comfort, it provides freedom of movement, with the perfect design and fit for everyday activities and sports.","BOXER MICROFIBRA CORTO /SHORT MICROFIBER BOXER","","FULLNESS-LATIN-BOXER","publish","014101","no ","no ","visible","","instock","no ","no ","34,300","","","","","","taxable ","","normal","Boxer > Casual > Blanco | Corto / BOXER > CASUAL > SHITE | SHORT","Boxer | Corto / BOXER | SHORT","Nylon 76% > Elastane 24% | Microfibra","Blanco / WHITE","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"FULLNESS LATIN BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. / Styled and shaped for the best comfort, it provides freedom of movement, with the perfect design and fit for everyday activities and sports.","BOXER MICROFIBRA CORTO /SHORT MICROFIBER BOXER","","FULLNESS-LATIN-BOXER","publish","014111","no ","no ","visible","","instock","no ","no ","34,300","","","","","","taxable ","","normal","Boxer > Casual > Negro | Corto / BOXER > CASUAL > BLACK | SHORT","Boxer | Corto / BOXER | SHORT","Nylon 76% > Elastane 24% | Microfibra","Negro / BLACK","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"PHENOMENON LATIN BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. / Styled and shaped for the best comfort, it provides freedom of movement, with the perfect design and fit for everyday activities and sports.","BOXER MICROFIBRA CORTO /SHORT MICROFIBER BOXER","","PHENOMENON-LATIN-BOXER","publish","015008","no ","no ","visible","","instock","no ","no ","31,800","","","","","","taxable ","","normal","Boxer > Luxury > Azul  | Corto / BOXER > LUXURY > BLUE | SHORT","Boxer | Corto / BOXER | SHORT","Nylon 78% > Elastane 22% | Microfibra","Azul Oscuro / DARK BLUE","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"PHENOMENON LATIN BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. / Styled and shaped for the best comfort, it provides freedom of movement, with the perfect design and fit for everyday activities and sports.","BOXER MICROFIBRA CORTO /SHORT MICROFIBER BOXER","","PHENOMENON-LATIN-BOXER","publish","015013","no ","no ","visible","","instock","no ","no ","31,800","","","","","","taxable ","","normal","Boxer > Luxury > Gris  | Corto / BOXER > LUXURY > GREY | SHORT","Boxer | Corto / BOXER | SHORT ","Nylon 78% > Elastane 22% | Microfibra","Gris / GREY","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"FEEL LATIN BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. / Styled and shaped for the best comfort, it provides freedom of movement, with the perfect design and fit for everyday activities and sports.","BOXER MICROFIBRA LARGO  / LONG MICROFIBER BOXER","","FEEL-LATIN-BOXER","publish","015511","no ","no ","visible","","instock","no ","no ","31,900","","","","","","taxable ","","normal","Boxer > Casual | Estampados / BOXER > CASULA | PRINT","Boxer | Estampado / BOXER | PRINT","Polyester 93% > Elastane 7% | Microfibra","Negro / BLACK","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"CALM BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. / Styled and shaped for the best comfort, it provides freedom of movement, with the perfect design and fit for everyday activities and sports.","BOXER MICROFIBRA MEDIO /MEDIUM MICROFIBER BOXER","","CALM-BOXER","publish","013701","no ","no ","visible","","instock","no ","no ","39,900","","","","","","taxable ","","normal","Boxer > Luxury > Blanco | Medio / BOXER > LUXURY > WHITE | MEDIUM","Boxer | Medio / BOXER | MEDIUM","Nylon 78% > Elastane 22% | Microfibra","Blanco / WHITE","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"CALM BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. / Styled and shaped for the best comfort, it provides freedom of movement, with the perfect design and fit for everyday activities and sports.","BOXER MICROFIBRA MEDIO /MEDIUM MICROFIBER BOXER","","CALM-BOXER","publish","013711","no ","no ","visible","","instock","no ","no ","39,900","","","","","","taxable ","","normal","Boxer > Luxury > Negro | Medio / BOXER > LUXURY > BLACK | MEDIUM","Boxer | Medio / BOXER | MEDIUM","Nylon 78% > Elastane 22% | Microfibra","Negro / BLACK","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"SPIRITUAL BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. / Styled and shaped for the best comfort, it provides freedom of movement, with the perfect design and fit for everyday activities and sports.","BOXER MICROFIBRA MEDIO /MEDIUM MICROFIBER BOXER","","SPIRITUAL-BOXER","publish","013901","no ","no ","visible","","instock","no ","no ","30,200","","","","","","taxable ","","normal","Boxer > Luxury > Blanco | Medio / BOXER > LUXURY > WHITE | MEDIUM","Boxer | Medio / BOXER | MEDIUM","Nylon 78% > Elastane 22% | Microfibra","Blanco / WHITE","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
