"post_title","post_description","post_excerpt","image","post_name","post_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","price","sale_price","weight","length","width","height","tax_status","tax_class","tax:product_type","tax:product_cat","tax:product_tag","tax:product_brand","attribute:Color","attribute_data:Color","attribute:Size","attribute_data:Size"," ","","","","","","","","","","","","","",""
"DEEP LATIN BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. ","BOXER MICROFIBRA CORTO","","DEEP-LATIN-BOXER","publish","014308","no ","no ","visible","","instock","no ","no ","28,300","","","","","","taxable ","","varieble","Boxer > Luxury > Azul   Corto ","Boxer  Corto ","Nylon 94% > Elastane 6% | Microfibra","Azul Oscuro ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"DEEP LATIN BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. ","BOXER MICROFIBRA CORTO ","","DEEP-LATIN-BOXER","publish","014311","no ","no ","visible","","instock","no ","no ","28,302","","","","","","taxable ","","varieble","Boxer > Luxury > Negro  Corto ","Boxer  Corto ","Nylon 94% > Elastane 6% | Microfibra","Negro ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"FULLNESS LATIN BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. ","BOXER MICROFIBRA CORTO ","","FULLNESS-LATIN-BOXER","publish","014101","no ","no ","visible","","instock","no ","no ","34,300","","","","","","taxable ","","varieble","Boxer > Casual > Blanco  Corto","Boxer  Corto ","Nylon 76% > Elastane 24% | Microfibra","Blanco ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"FULLNESS LATIN BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. ","BOXER MICROFIBRA CORTO ","","FULLNESS-LATIN-BOXER","publish","014111","no ","no ","visible","","instock","no ","no ","34,300","","","","","","taxable ","","varieble","Boxer > Casual > Negro  Corto ","Boxer  Corto ","Nylon 76% > Elastane 24% | Microfibra","Negro","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"PHENOMENON LATIN BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas.","BOXER MICROFIBRA CORTO ","","PHENOMENON-LATIN-BOXER","publish","015008","no ","no ","visible","","instock","no ","no ","31,800","","","","","","taxable ","","varieble","Boxer > Luxury > Azul   Corto ","Boxer  Corto ","Nylon 78% > Elastane 22% | Microfibra","Azul Oscuro ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"PHENOMENON LATIN BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. ","BOXER MICROFIBRA CORTO ","","PHENOMENON-LATIN-BOXER","publish","015013","no ","no ","visible","","instock","no ","no ","31,800","","","","","","taxable ","","varieble","Boxer > Luxury > Gris  Corto ","Boxer  Corto ","Nylon 78% > Elastane 22% | Microfibra","Gris ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"FEEL LATIN BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. ","BOXER MICROFIBRA LARGO ","","FEEL-LATIN-BOXER","publish","015511","no ","no ","visible","","instock","no ","no ","31,900","","","","","","taxable ","","varieble","Boxer > Casual  Estampados ","Boxer  Estampado ","Polyester 93% > Elastane 7% | Microfibra","Negro ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"CALM BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. ","BOXER MICROFIBRA MEDIO ","","CALM-BOXER","publish","013701","no ","no ","visible","","instock","no ","no ","39,900","","","","","","taxable ","","varieble","Boxer > Luxury > Blanco  Medio ","Boxer  Medio ","Nylon 78% > Elastane 22% | Microfibra","Blanco ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"CALM BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. ","BOXER MICROFIBRA MEDIO ","","CALM-BOXER","publish","013711","no ","no ","visible","","instock","no ","no ","39,900","","","","","","taxable ","","varieble","Boxer > Luxury > Negro  Medio","Boxer  Medio ","Nylon 78% > Elastane 22% | Microfibra","Negro","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"SPIRITUAL BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. ","BOXER MICROFIBRA MEDIO","","SPIRITUAL-BOXER","publish","013901","no ","no ","visible","","instock","no ","no ","30,200","","","","","","taxable ","","varieble","Boxer > Luxury > Blanco  Medio ","Boxer  Medio ","Nylon 78% > Elastane 22% | Microfibra","Blanco ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
